time_s,Fz_left_N,Fz_right_N
0.0000,417.40,415.62
0.0010,417.64,415.86
0.0020,418.10,416.32
0.0030,417.60,415.82
0.0040,417.88,416.10
0.0050,417.66,415.87
0.0060,417.18,415.40
0.0070,416.61,414.83
0.0080,417.11,415.33
0.0090,416.27,414.49
0.0100,418.33,416.54
0.0110,418.24,416.46
0.0120,416.37,414.59
0.0130,417.83,416.05
0.0140,415.10,413.33
0.0150,419.34,417.56
0.0160,418.04,416.25
0.0170,418.45,416.66
0.0180,417.51,415.73
0.0190,418.79,417.00
0.0200,417.79,416.01
0.0210,417.73,415.94
0.0220,417.14,415.36
0.0230,416.92,415.14
0.0240,418.55,416.77
0.0250,416.52,414.74
0.0260,417.51,415.73
0.0270,417.73,415.94
0.0280,416.90,415.13
0.0290,417.63,415.85
0.0300,418.44,416.65
0.0310,417.08,415.30
0.0320,417.50,415.72
0.0330,418.98,417.19
0.0340,417.42,415.64
0.0350,417.74,415.96
0.0360,417.95,416.16
0.0370,417.46,415.68
0.0380,418.21,416.43
0.0390,417.47,415.69
0.0400,417.31,415.53
0.0410,416.91,415.13
0.0420,418.06,416.28
0.0430,417.51,415.73
0.0440,418.11,416.33
0.0450,418.10,416.32
0.0460,416.74,414.97
0.0470,415.80,414.03
0.0480,416.78,415.00
0.0490,417.66,415.88
0.0500,417.65,415.87
0.0510,416.36,414.59
0.0520,417.13,415.35
0.0530,417.93,416.15
0.0540,417.53,415.75
0.0550,418.20,416.42
0.0560,418.71,416.92
0.0570,416.99,415.21
0.0580,417.71,415.93
0.0590,416.74,414.96
0.0600,417.75,415.97
0.0610,416.91,415.13
0.0620,417.06,415.28
0.0630,418.44,416.66
0.0640,416.89,415.11
0.0650,417.95,416.17
0.0660,416.67,414.89
0.0670,417.97,416.19
0.0680,416.90,415.12
0.0690,418.01,416.23
0.0700,418.33,416.55
0.0710,416.88,415.10
0.0720,416.84,415.07
0.0730,419.07,417.28
0.0740,416.86,415.08
0.0750,417.44,415.66
0.0760,418.01,416.23
0.0770,418.26,416.47
0.0780,417.02,415.24
0.0790,417.07,415.29
0.0800,417.76,415.98
0.0810,417.53,415.75
0.0820,417.81,416.03
0.0830,418.10,416.32
0.0840,417.16,415.38
0.0850,417.94,416.15
0.0860,417.48,415.70
0.0870,417.03,415.25
0.0880,418.19,416.40
0.0890,418.07,416.28
0.0900,417.21,415.43
0.0910,415.81,414.03
0.0920,419.37,417.58
0.0930,417.41,415.63
0.0940,416.47,414.69
0.0950,418.47,416.68
0.0960,417.56,415.78
0.0970,417.56,415.78
0.0980,416.38,414.60
0.0990,417.87,416.09
0.1000,417.08,415.30
0.1010,416.68,414.90
0.1020,417.75,415.96
0.1030,418.34,416.55
0.1040,419.11,417.32
0.1050,417.35,415.57
0.1060,416.76,414.98
0.1070,417.02,415.24
0.1080,417.44,415.66
0.1090,418.52,416.74
0.1100,417.66,415.88
0.1110,416.52,414.74
0.1120,417.72,415.94
0.1130,416.21,414.43
0.1140,416.49,414.71
0.1150,417.03,415.26
0.1160,417.41,415.63
0.1170,418.67,416.88
0.1180,417.45,415.67
0.1190,418.67,416.88
0.1200,417.32,415.54
0.1210,416.24,414.47
0.1220,417.42,415.64
0.1230,418.01,416.23
0.1240,417.85,416.07
0.1250,418.04,416.26
0.1260,418.44,416.66
0.1270,417.90,416.12
0.1280,418.66,416.87
0.1290,417.45,415.67
0.1300,417.55,415.77
0.1310,418.17,416.38
0.1320,416.69,414.91
0.1330,419.44,417.65
0.1340,417.46,415.68
0.1350,415.85,414.08
0.1360,417.00,415.22
0.1370,416.83,415.05
0.1380,417.56,415.78
0.1390,417.83,416.04
0.1400,418.53,416.75
0.1410,418.06,416.27
0.1420,417.78,416.00
0.1430,417.22,415.44
0.1440,417.49,415.71
0.1450,417.57,415.79
0.1460,418.89,417.10
0.1470,418.21,416.43
0.1480,417.24,415.46
0.1490,418.33,416.55
0.1500,417.16,415.38
0.1510,417.28,415.50
0.1520,416.87,415.09
0.1530,418.00,416.21
0.1540,417.89,416.11
0.1550,417.24,415.46
0.1560,418.45,416.66
0.1570,416.29,414.51
0.1580,417.04,415.26
0.1590,418.21,416.43
0.1600,417.60,415.82
0.1610,417.43,415.65
0.1620,417.77,415.98
0.1630,418.09,416.31
0.1640,417.09,415.31
0.1650,417.42,415.64
0.1660,417.64,415.86
0.1670,416.38,414.60
0.1680,418.49,416.71
0.1690,417.77,415.98
0.1700,418.15,416.36
0.1710,417.46,415.68
0.1720,417.03,415.25
0.1730,417.46,415.68
0.1740,418.07,416.29
0.1750,419.83,418.04
0.1760,416.32,414.55
0.1770,418.18,416.39
0.1780,416.39,414.61
0.1790,417.28,415.50
0.1800,416.50,414.72
0.1810,417.15,415.38
0.1820,417.18,415.40
0.1830,418.67,416.89
0.1840,417.69,415.91
0.1850,417.06,415.28
0.1860,417.14,415.36
0.1870,418.17,416.39
0.1880,418.40,416.62
0.1890,418.32,416.53
0.1900,417.58,415.80
0.1910,416.72,414.94
0.1920,418.08,416.30
0.1930,417.86,416.07
0.1940,419.48,417.69
