time_s,Fz_left_N,Fz_right_N
0.0000,382.49,343.71
0.0010,382.34,343.58
0.0020,382.16,343.41
0.0030,379.89,341.38
0.0040,383.01,344.18
0.0050,384.29,345.33
0.0060,382.69,343.89
0.0070,382.56,343.78
0.0080,383.74,344.83
0.0090,382.29,343.53
0.0100,384.86,345.84
0.0110,379.31,340.86
0.0120,379.90,341.38
0.0130,381.81,343.10
0.0140,380.27,341.72
0.0150,383.22,344.37
0.0160,379.70,341.21
0.0170,383.17,344.33
0.0180,382.27,343.52
0.0190,384.49,345.51
0.0200,381.55,342.87
0.0210,382.69,343.90
0.0220,381.95,343.23
0.0230,381.81,343.10
0.0240,379.56,341.08
0.0250,380.82,342.21
0.0260,384.39,345.42
0.0270,385.92,346.80
0.0280,383.21,344.36
0.0290,380.24,341.69
0.0300,382.17,343.43
0.0310,379.27,340.82
0.0320,381.37,342.71
0.0330,383.30,344.44
0.0340,382.33,343.57
0.0350,381.85,343.14
0.0360,381.67,342.98
0.0370,380.65,342.06
0.0380,385.01,345.98
0.0390,382.98,344.15
0.0400,381.42,342.75
0.0410,384.04,345.11
0.0420,384.05,345.12
0.0430,384.50,345.52
0.0440,384.93,345.90
0.0450,382.77,343.96
0.0460,383.73,344.83
0.0470,380.40,341.83
0.0480,383.99,345.06
0.0490,383.64,344.75
0.0500,382.48,343.70
0.0510,380.09,341.56
0.0520,380.47,341.90
0.0530,384.25,345.29
0.0540,381.35,342.69
0.0550,383.93,345.01
0.0560,380.36,341.80
0.0570,383.63,344.74
0.0580,383.64,344.75
0.0590,381.65,342.96
0.0600,383.45,344.58
0.0610,382.56,343.78
0.0620,381.47,342.80
0.0630,382.18,343.43
0.0640,381.94,343.22
0.0650,382.10,343.36
0.0660,382.88,344.06
0.0670,383.67,344.77
0.0680,381.83,343.12
0.0690,379.86,341.35
0.0700,380.61,342.02
0.0710,381.70,343.00
0.0720,382.27,343.52
0.0730,380.34,341.78
0.0740,379.43,340.97
0.0750,379.67,341.18
0.0760,384.46,345.49
0.0770,384.23,345.28
0.0780,380.07,341.54
0.0790,383.19,344.34
0.0800,385.61,346.51
0.0810,383.19,344.34
0.0820,380.92,342.30
0.0830,382.54,343.76
0.0840,381.41,342.75
0.0850,382.85,344.04
0.0860,380.07,341.54
0.0870,382.01,343.29
0.0880,381.23,342.58
0.0890,383.76,344.85
0.0900,384.62,345.63
0.0910,381.93,343.21
0.0920,382.10,343.36
0.0930,384.04,345.10
0.0940,384.49,345.52
0.0950,382.91,344.09
0.0960,381.76,343.05
0.0970,383.38,344.52
0.0980,379.12,340.68
0.0990,380.63,342.04
0.1000,382.48,343.70
0.1010,383.14,344.30
0.1020,382.19,343.45
0.1030,380.37,341.81
0.1040,381.91,343.19
0.1050,384.72,345.72
0.1060,382.11,343.37
0.1070,381.57,342.89
0.1080,380.45,341.88
0.1090,381.79,343.09
0.1100,381.45,342.78
0.1110,385.32,346.26
0.1120,382.50,343.72
0.1130,382.74,343.94
0.1140,382.56,343.78
0.1150,384.05,345.11
0.1160,383.24,344.39
0.1170,382.70,343.90
0.1180,382.28,343.52
0.1190,384.31,345.35
0.1200,379.41,340.95
0.1210,382.83,344.02
0.1220,383.02,344.19
0.1230,383.28,344.43
0.1240,380.66,342.07
0.1250,382.68,343.89
0.1260,381.94,343.22
0.1270,381.83,343.12
0.1280,381.33,342.67
0.1290,384.00,345.07
0.1300,381.65,342.96
0.1310,380.11,341.58
0.1320,382.38,343.62
0.1330,381.33,342.67
0.1340,381.00,342.37
0.1350,380.77,342.17
0.1360,380.80,342.19
0.1370,382.46,343.69
0.1380,382.46,343.69
0.1390,383.17,344.33
0.1400,384.37,345.41
0.1410,383.62,344.73
0.1420,380.29,341.73
0.1430,382.77,343.97
0.1440,382.05,343.32
0.1450,382.19,343.44
0.1460,380.27,341.72
0.1470,380.72,342.12
0.1480,382.82,344.01
0.1490,382.20,343.46
0.1500,383.40,344.53
0.1510,382.34,343.58
0.1520,383.32,344.46
0.1530,380.69,342.10
0.1540,382.14,343.40
0.1550,383.11,344.27
0.1560,383.53,344.65
0.1570,382.05,343.32
0.1580,378.06,339.74
0.1590,382.09,343.36
0.1600,381.96,343.24
0.1610,384.73,345.72
0.1620,381.76,343.06
0.1630,382.10,343.37
0.1640,380.80,342.19
0.1650,381.90,343.19
0.1660,378.69,340.30
0.1670,380.05,341.52
0.1680,384.55,345.57
0.1690,382.93,344.11
0.1700,383.66,344.77
0.1710,381.51,342.84
0.1720,383.08,344.24
0.1730,381.74,343.04
0.1740,381.57,342.89
0.1750,384.59,345.60
0.1760,379.80,341.30
0.1770,380.93,342.31
0.1780,381.77,343.06
0.1790,383.33,344.47
0.1800,380.59,342.01
0.1810,381.48,342.80
0.1820,383.93,345.00
0.1830,381.55,342.87
0.1840,384.96,345.93
0.1850,385.22,346.17
0.1860,382.42,343.65
0.1870,381.51,342.83
0.1880,382.46,343.68
0.1890,384.05,345.12
0.1900,382.13,343.39
0.1910,380.99,342.37
0.1920,381.72,343.02
0.1930,382.66,343.87
0.1940,383.57,344.69
0.1950,383.51,344.63
0.1960,383.30,344.44
0.1970,381.60,342.91
0.1980,381.35,342.69
0.1990,384.33,345.37
0.2000,382.70,343.91
0.2010,381.46,342.79
0.2020,380.50,341.92
0.2030,382.35,343.59
0.2040,382.41,343.65
0.2050,381.99,343.26
0.2060,381.85,343.14
0.2070,380.88,342.26
0.2080,382.20,343.46
0.2090,381.66,342.97
0.2100,382.90,344.08
0.2110,382.20,343.45
0.2120,383.02,344.19
0.2130,382.70,343.90
0.2140,382.92,344.10
0.2150,384.64,345.65
0.2160,381.75,343.05
0.2170,384.24,345.29
0.2180,382.93,344.11
0.2190,383.34,344.48
0.2200,382.34,343.58
0.2210,383.28,344.43
0.2220,383.01,344.18
0.2230,382.98,344.15
0.2240,381.57,342.89
0.2250,383.65,344.75
0.2260,382.26,343.50
0.2270,382.88,344.07
0.2280,382.03,343.30
0.2290,384.07,345.13
0.2300,380.80,342.19
0.2310,381.88,343.17
0.2320,384.90,345.88
0.2330,383.88,344.97
0.2340,382.11,343.37
0.2350,384.66,345.66
0.2360,383.34,344.47
0.2370,381.79,343.08
0.2380,381.56,342.88
0.2390,380.88,342.27
0.2400,381.85,343.14
0.2410,382.70,343.90
0.2420,382.27,343.51
0.2430,382.77,343.96
0.2440,381.99,343.27
0.2450,382.85,344.04
0.2460,384.99,345.96
0.2470,378.12,339.78
0.2480,380.19,341.65
0.2490,382.76,343.95
0.2500,381.27,342.62
0.2510,381.15,342.51
0.2520,383.78,344.88
0.2530,381.01,342.38
0.2540,380.31,341.76
0.2550,381.66,342.97
0.2560,380.85,342.24
0.2570,382.76,343.96
0.2580,381.64,342.95
0.2590,379.39,340.93
0.2600,383.07,344.24
0.2610,380.81,342.20
0.2620,382.52,343.74
0.2630,380.37,341.81
0.2640,382.25,343.50
0.2650,383.63,344.74
0.2660,382.85,344.04
0.2670,381.72,343.02
0.2680,383.24,344.39
0.2690,381.83,343.12
0.2700,384.91,345.89
0.2710,382.20,343.46
0.2720,382.65,343.86
0.2730,382.50,343.72
0.2740,382.36,343.59
0.2750,382.95,344.12
0.2760,384.33,345.37
0.2770,382.22,343.47
0.2780,383.83,344.92
0.2790,381.39,342.73
0.2800,382.60,343.81
0.2810,380.53,341.95
0.2820,382.16,343.42
0.2830,385.41,346.34
0.2840,382.66,343.87
0.2850,383.05,344.21
0.2860,383.00,344.17
0.2870,381.71,343.01
0.2880,381.61,342.92
0.2890,382.36,343.60
0.2900,380.28,341.72
0.2910,384.30,345.34
0.2920,381.19,342.55
0.2930,383.19,344.34
0.2940,380.93,342.31
0.2950,379.91,341.39
0.2960,382.05,343.32
0.2970,381.74,343.04
0.2980,384.04,345.10
0.2990,380.69,342.10
0.3000,383.26,344.41
0.3010,382.82,344.01
