time_s,Fz_left_N,Fz_right_N
0.0000,378.20,302.27
0.0010,379.71,303.47
0.0020,377.20,301.47
0.0030,378.79,302.74
0.0040,378.44,302.46
0.0050,379.36,303.19
0.0060,378.25,302.31
0.0070,377.00,301.31
0.0080,379.37,303.20
0.0090,379.57,303.36
0.0100,379.01,302.91
0.0110,379.27,303.12
0.0120,378.42,302.44
0.0130,378.66,302.64
0.0140,378.34,302.38
0.0150,378.44,302.46
0.0160,378.10,302.19
0.0170,380.39,304.01
0.0180,380.39,304.02
0.0190,377.03,301.33
0.0200,381.15,304.62
0.0210,379.43,303.25
0.0220,379.16,303.03
0.0230,377.54,301.74
0.0240,380.29,303.94
0.0250,377.82,301.97
0.0260,379.33,303.17
0.0270,379.03,302.93
0.0280,378.31,302.35
0.0290,378.73,302.69
0.0300,377.83,301.97
0.0310,378.93,302.85
0.0320,379.65,303.42
0.0330,377.83,301.97
0.0340,380.11,303.79
0.0350,378.98,302.89
0.0360,376.76,301.12
0.0370,378.33,302.37
0.0380,378.38,302.41
0.0390,379.18,303.05
0.0400,377.43,301.65
0.0410,378.17,302.25
0.0420,379.94,303.66
0.0430,377.87,302.00
0.0440,380.30,303.95
0.0450,377.08,301.37
0.0460,379.03,302.93
0.0470,380.41,304.04
0.0480,379.23,303.09
0.0490,379.47,303.28
0.0500,378.61,302.60
0.0510,379.63,303.41
0.0520,379.98,303.69
0.0530,379.05,302.95
0.0540,378.02,302.13
0.0550,379.31,303.15
0.0560,380.20,303.87
0.0570,379.69,303.46
0.0580,380.26,303.91
0.0590,378.49,302.50
0.0600,379.78,303.53
0.0610,379.83,303.57
0.0620,378.89,302.82
0.0630,381.48,304.89
0.0640,380.99,304.50
0.0650,376.71,301.08
0.0660,379.84,303.58
0.0670,379.98,303.69
0.0680,377.07,301.36
0.0690,379.96,303.68
0.0700,378.66,302.63
0.0710,378.56,302.56
0.0720,377.99,302.10
0.0730,378.17,302.24
0.0740,378.76,302.71
0.0750,378.70,302.67
0.0760,377.84,301.98
0.0770,378.45,302.46
0.0780,377.14,301.42
0.0790,380.86,304.40
0.0800,381.29,304.74
0.0810,379.81,303.55
0.0820,378.56,302.55
0.0830,379.24,303.10
0.0840,377.71,301.87
0.0850,379.50,303.31
0.0860,379.97,303.68
0.0870,379.92,303.64
0.0880,377.34,301.58
0.0890,379.56,303.35
0.0900,379.66,303.43
0.0910,378.40,302.43
0.0920,378.43,302.45
0.0930,377.82,301.96
0.0940,377.54,301.74
0.0950,379.45,303.27
0.0960,379.05,302.95
0.0970,378.05,302.15
0.0980,378.97,302.88
0.0990,380.40,304.03
0.1000,379.13,303.01
0.1010,377.78,301.93
0.1020,378.53,302.53
0.1030,379.55,303.35
0.1040,379.68,303.45
0.1050,378.78,302.73
0.1060,378.42,302.44
0.1070,378.73,302.69
0.1080,379.54,303.34
0.1090,378.57,302.56
0.1100,379.88,303.61
0.1110,380.46,304.08
0.1120,379.07,302.96
0.1130,378.08,302.17
0.1140,382.48,305.69
0.1150,379.01,302.91
0.1160,379.76,303.51
0.1170,378.95,302.86
0.1180,377.06,301.35
0.1190,378.15,302.23
0.1200,379.37,303.20
0.1210,378.27,302.32
0.1220,378.42,302.44
0.1230,378.75,302.71
0.1240,378.09,302.18
0.1250,378.41,302.44
0.1260,379.09,302.98
0.1270,377.36,301.59
0.1280,381.05,304.54
0.1290,379.21,303.08
0.1300,380.71,304.27
0.1310,379.12,303.00
0.1320,377.29,301.54
0.1330,377.68,301.85
0.1340,379.39,303.22
0.1350,378.73,302.69
0.1360,378.74,302.70
0.1370,379.10,302.98
0.1380,379.13,303.01
0.1390,377.78,301.94
0.1400,379.35,303.19
0.1410,378.65,302.62
0.1420,378.27,302.32
0.1430,378.97,302.88
0.1440,378.17,302.24
0.1450,379.57,303.37
0.1460,379.21,303.08
0.1470,378.93,302.85
0.1480,379.46,303.27
0.1490,380.02,303.72
0.1500,380.06,303.76
0.1510,378.87,302.80
0.1520,380.27,303.92
0.1530,378.32,302.36
0.1540,377.53,301.73
0.1550,379.70,303.46
0.1560,379.53,303.33
0.1570,377.66,301.83
0.1580,379.46,303.27
0.1590,379.75,303.50
0.1600,378.65,302.63
0.1610,380.92,304.44
0.1620,379.66,303.43
0.1630,378.30,302.35
0.1640,380.02,303.72
0.1650,379.17,303.04
0.1660,378.66,302.63
0.1670,376.92,301.24
0.1680,379.00,302.91
0.1690,380.49,304.10
0.1700,380.56,304.15
0.1710,380.73,304.29
0.1720,378.94,302.86
0.1730,379.37,303.20
0.1740,378.38,302.41
0.1750,378.03,302.13
0.1760,378.40,302.43
0.1770,377.78,301.94
0.1780,380.27,303.92
0.1790,377.33,301.58
0.1800,378.84,302.78
0.1810,380.01,303.71
0.1820,377.16,301.44
0.1830,378.52,302.52
0.1840,379.17,303.04
0.1850,378.81,302.75
0.1860,378.74,302.70
0.1870,378.20,302.27
0.1880,378.84,302.78
0.1890,377.48,301.69
0.1900,379.13,303.01
0.1910,379.38,303.21
0.1920,378.56,302.55
0.1930,379.29,303.14
0.1940,380.57,304.16
0.1950,379.55,303.35
0.1960,379.42,303.24
0.1970,377.34,301.58
0.1980,380.72,304.28
0.1990,379.75,303.51
0.2000,380.52,304.12
0.2010,377.77,301.92
0.2020,380.53,304.13
0.2030,379.21,303.08
0.2040,379.05,302.94
0.2050,377.09,301.38
0.2060,378.75,302.71
0.2070,377.91,302.04
0.2080,379.06,302.95
0.2090,379.09,302.98
0.2100,380.19,303.86
0.2110,380.01,303.71
0.2120,379.62,303.40
0.2130,379.53,303.33
0.2140,378.18,302.25
0.2150,378.89,302.82
0.2160,378.91,302.84
0.2170,377.91,302.04
0.2180,378.60,302.59
0.2190,378.62,302.61
0.2200,379.05,302.94
0.2210,379.10,302.99
0.2220,378.06,302.15
0.2230,378.05,302.15
0.2240,379.00,302.90
0.2250,379.98,303.69
0.2260,378.97,302.88
0.2270,378.89,302.82
0.2280,380.32,303.96
0.2290,378.79,302.74
0.2300,377.79,301.94
0.2310,379.50,303.31
0.2320,378.51,302.51
0.2330,377.91,302.03
0.2340,378.44,302.46
0.2350,378.94,302.86
0.2360,379.20,303.07
0.2370,379.80,303.55
0.2380,378.86,302.80
0.2390,379.36,303.20
0.2400,378.83,302.77
0.2410,379.20,303.07
0.2420,377.08,301.37
0.2430,379.68,303.45
0.2440,379.70,303.46
0.2450,379.64,303.42
0.2460,378.59,302.58
0.2470,377.66,301.83
0.2480,378.78,302.73
0.2490,379.85,303.59
0.2500,378.98,302.89
0.2510,377.09,301.38
0.2520,378.11,302.19
0.2530,377.66,301.83
0.2540,378.95,302.87
0.2550,379.26,303.12
0.2560,380.24,303.90
0.2570,381.18,304.65
0.2580,379.32,303.16
0.2590,379.91,303.63
0.2600,378.54,302.54
0.2610,378.41,302.43
0.2620,379.89,303.62
0.2630,379.36,303.19
0.2640,378.86,302.80
0.2650,378.70,302.67
0.2660,378.50,302.51
0.2670,377.49,301.70
0.2680,377.66,301.84
0.2690,379.41,303.23
0.2700,377.46,301.67
0.2710,378.03,302.13
0.2720,377.16,301.44
0.2730,379.25,303.11
0.2740,379.98,303.69
0.2750,378.67,302.65
0.2760,378.79,302.74
0.2770,377.84,301.98
0.2780,380.37,304.00
0.2790,378.60,302.59
0.2800,378.43,302.45
0.2810,379.22,303.08
0.2820,380.03,303.73
0.2830,378.55,302.55
0.2840,378.73,302.69
0.2850,380.16,303.83
0.2860,380.37,304.00
0.2870,378.69,302.66
0.2880,378.68,302.65
0.2890,378.91,302.83
0.2900,376.89,301.22
0.2910,379.30,303.15
0.2920,378.66,302.63
0.2930,378.89,302.82
0.2940,377.56,301.76
0.2950,378.46,302.47
0.2960,379.28,303.13
0.2970,378.69,302.66
0.2980,378.94,302.86
0.2990,380.19,303.86
0.3000,379.16,303.03
0.3010,376.81,301.16
0.3020,377.26,301.51
0.3030,378.38,302.41
0.3040,380.02,303.72
0.3050,379.10,302.99
0.3060,379.12,303.00
0.3070,379.90,303.62
0.3080,378.37,302.41
0.3090,380.89,304.42
0.3100,379.74,303.50
0.3110,377.85,301.99
0.3120,378.85,302.79
0.3130,378.02,302.12
0.3140,376.80,301.15
0.3150,380.06,303.75
0.3160,379.57,303.36
0.3170,380.41,304.03
0.3180,377.47,301.68
0.3190,378.46,302.48
0.3200,378.95,302.86
0.3210,379.89,303.62
0.3220,378.17,302.24
0.3230,377.95,302.07
0.3240,379.91,303.63
0.3250,378.21,302.27
0.3260,378.74,302.70
0.3270,379.14,303.02
0.3280,380.06,303.75
0.3290,378.24,302.30
0.3300,380.16,303.84
0.3310,379.83,303.57
0.3320,378.97,302.88
0.3330,379.49,303.30
0.3340,377.34,301.58
0.3350,380.99,304.50
0.3360,378.34,302.38
0.3370,378.51,302.52
0.3380,378.49,302.50
0.3390,379.24,303.10
0.3400,378.58,302.57
0.3410,379.58,303.37
0.3420,377.67,301.85
0.3430,378.70,302.67
0.3440,378.91,302.84
0.3450,377.44,301.66
0.3460,380.02,303.72
0.3470,379.31,303.15
0.3480,378.83,302.77
0.3490,378.76,302.72
0.3500,378.04,302.14
0.3510,377.65,301.83
0.3520,379.72,303.48
0.3530,377.83,301.97
0.3540,379.45,303.27
0.3550,378.23,302.29
0.3560,378.91,302.83
0.3570,379.18,303.05
0.3580,378.19,302.26
0.3590,378.30,302.35
0.3600,379.96,303.67
0.3610,379.97,303.68
0.3620,379.13,303.01
0.3630,378.22,302.28
0.3640,378.82,302.76
0.3650,379.21,303.08
0.3660,380.62,304.20
0.3670,379.76,303.51
0.3680,377.92,302.05
0.3690,378.52,302.52
0.3700,378.32,302.37
0.3710,378.37,302.40
0.3720,378.84,302.78
0.3730,377.78,301.93
0.3740,379.09,302.98
0.3750,379.39,303.22
0.3760,378.62,302.61
0.3770,378.24,302.30
0.3780,377.61,301.79
0.3790,378.59,302.58
0.3800,379.08,302.97
0.3810,379.11,303.00
0.3820,377.81,301.96
0.3830,379.24,303.10
0.3840,379.84,303.58
0.3850,378.51,302.51
0.3860,377.81,301.96
0.3870,378.54,302.54
0.3880,379.01,302.92
0.3890,379.19,303.06
0.3900,379.73,303.49
0.3910,379.01,302.92
0.3920,379.14,303.02
0.3930,377.88,302.01
0.3940,379.88,303.61
0.3950,378.83,302.77
0.3960,378.60,302.59
0.3970,379.66,303.43
0.3980,379.45,303.27
0.3990,377.90,302.03
0.4000,378.38,302.41
0.4010,378.68,302.65
0.4020,378.26,302.32
0.4030,379.66,303.44
0.4040,379.43,303.25
0.4050,378.42,302.44
0.4060,379.73,303.49
0.4070,379.19,303.06
0.4080,377.96,302.07
0.4090,379.32,303.16
0.4100,379.88,303.61
0.4110,376.89,301.22
0.4120,379.90,303.63
0.4130,379.22,303.08
0.4140,376.60,300.99
0.4150,379.39,303.22
0.4160,379.90,303.63
0.4170,380.35,303.99
0.4180,378.06,302.15
0.4190,378.60,302.59
0.4200,377.62,301.80
0.4210,378.64,302.62
0.4220,378.58,302.57
0.4230,378.84,302.78
0.4240,379.04,302.94
0.4250,378.85,302.78
0.4260,377.90,302.03
0.4270,378.04,302.14
0.4280,377.77,301.92
0.4290,379.07,302.96
0.4300,378.81,302.75
0.4310,379.32,303.16
0.4320,380.74,304.30
0.4330,379.44,303.26
0.4340,379.39,303.22
0.4350,379.31,303.15
0.4360,378.18,302.25
0.4370,378.71,302.67
0.4380,378.29,302.34
0.4390,380.82,304.36
0.4400,379.67,303.44
0.4410,378.93,302.85
0.4420,379.44,303.26
0.4430,378.85,302.79
0.4440,379.41,303.23
0.4450,378.83,302.77
0.4460,378.25,302.31
0.4470,379.32,303.16
0.4480,379.32,303.17
0.4490,380.44,304.06
0.4500,378.82,302.76
0.4510,379.92,303.64
0.4520,377.91,302.03
0.4530,379.80,303.54
0.4540,379.06,302.95
0.4550,380.07,303.76
0.4560,379.71,303.48
0.4570,379.51,303.31
0.4580,379.60,303.39
0.4590,378.62,302.60
0.4600,378.69,302.66
0.4610,379.21,303.07
0.4620,378.74,302.70
0.4630,378.17,302.24
0.4640,380.31,303.96
0.4650,378.18,302.25
0.4660,378.12,302.21
0.4670,378.02,302.12
0.4680,378.98,302.89
0.4690,378.91,302.83
0.4700,378.50,302.51
0.4710,380.96,304.47
0.4720,379.31,303.15
0.4730,378.97,302.88
0.4740,379.04,302.94
0.4750,377.78,301.93
0.4760,378.77,302.73
0.4770,377.81,301.95
0.4780,377.69,301.86
0.4790,377.42,301.65
0.4800,377.27,301.52
0.4810,380.00,303.71
0.4820,377.82,301.97
0.4830,378.92,302.84
0.4840,380.80,304.34
0.4850,378.82,302.76
0.4860,380.79,304.34
0.4870,379.55,303.35
0.4880,380.70,304.27
0.4890,379.94,303.66
0.4900,378.80,302.75
0.4910,379.61,303.40
0.4920,380.40,304.03
0.4930,379.03,302.93
0.4940,378.65,302.63
0.4950,378.97,302.88
0.4960,378.41,302.44
0.4970,379.58,303.37
0.4980,380.00,303.70
0.4990,379.13,303.01
0.5000,379.63,303.41
0.5010,378.45,302.47
0.5020,377.15,301.42
0.5030,380.77,304.32
0.5040,377.99,302.10
0.5050,379.60,303.38
0.5060,378.69,302.66
0.5070,380.15,303.83
0.5080,380.92,304.44
0.5090,377.76,301.91
0.5100,379.11,303.00
0.5110,378.21,302.28
0.5120,379.84,303.58
0.5130,377.25,301.51
0.5140,377.31,301.55
0.5150,379.48,303.29
0.5160,379.72,303.49
0.5170,379.66,303.44
0.5180,378.43,302.45
