time_s,Fz_left_N,Fz_right_N
0.0000,319.47,354.20
0.0010,319.74,354.51
0.0020,316.54,350.96
0.0030,318.22,352.81
0.0040,319.82,354.59
0.0050,316.14,350.51
0.0060,318.06,352.64
0.0070,319.79,354.55
0.0080,315.79,350.13
0.0090,320.32,355.14
0.0100,317.54,352.06
0.0110,318.13,352.72
0.0120,318.52,353.15
0.0130,317.45,351.96
0.0140,317.37,351.87
0.0150,318.63,353.28
0.0160,318.05,352.63
0.0170,319.58,354.32
0.0180,319.22,353.92
0.0190,319.32,354.03
0.0200,320.06,354.86
0.0210,320.06,354.86
0.0220,319.59,354.33
0.0230,320.41,355.25
0.0240,319.00,353.69
0.0250,318.35,352.96
0.0260,319.41,354.14
0.0270,319.30,354.01
0.0280,320.10,354.90
0.0290,319.72,354.48
0.0300,318.00,352.57
0.0310,319.25,353.96
0.0320,317.58,352.11
0.0330,319.16,353.86
0.0340,317.98,352.55
0.0350,319.12,353.82
0.0360,320.18,354.99
0.0370,318.14,352.73
0.0380,320.13,354.93
0.0390,318.34,352.95
0.0400,319.14,353.84
0.0410,318.29,352.89
0.0420,318.74,353.40
0.0430,320.62,355.48
0.0440,318.36,352.97
0.0450,319.45,354.18
0.0460,318.66,353.31
0.0470,319.56,354.30
0.0480,320.47,355.31
0.0490,317.55,352.07
0.0500,317.13,351.61
0.0510,318.75,353.41
0.0520,317.87,352.43
0.0530,320.02,354.81
0.0540,317.66,352.19
0.0550,319.64,354.40
0.0560,318.64,353.28
0.0570,319.55,354.29
0.0580,318.67,353.32
0.0590,318.30,352.90
0.0600,319.69,354.45
0.0610,317.40,351.90
0.0620,317.97,352.54
0.0630,320.37,355.20
0.0640,318.67,353.32
0.0650,317.30,351.80
0.0660,319.36,354.08
0.0670,319.88,354.65
0.0680,319.96,354.75
0.0690,316.96,351.42
0.0700,317.92,352.49
0.0710,317.91,352.47
0.0720,319.07,353.76
0.0730,318.04,352.62
0.0740,319.21,353.92
0.0750,318.88,353.55
0.0760,318.28,352.88
0.0770,318.74,353.39
0.0780,320.53,355.37
0.0790,319.21,353.91
0.0800,318.81,353.47
0.0810,319.94,354.72
0.0820,318.51,353.13
0.0830,318.51,353.14
0.0840,317.98,352.55
0.0850,321.20,356.12
0.0860,319.57,354.31
0.0870,318.96,353.64
0.0880,320.32,355.14
0.0890,319.55,354.29
0.0900,319.61,354.36
0.0910,320.06,354.86
0.0920,317.06,351.53
0.0930,318.77,353.42
0.0940,318.01,352.58
0.0950,319.24,353.94
0.0960,318.40,353.01
0.0970,318.35,352.96
0.0980,319.25,353.96
0.0990,319.53,354.26
0.1000,317.70,352.24
0.1010,319.09,353.78
0.1020,320.05,354.85
0.1030,321.67,356.64
0.1040,317.05,351.52
0.1050,317.96,352.53
0.1060,317.97,352.54
0.1070,316.44,350.84
0.1080,319.06,353.75
0.1090,318.73,353.39
0.1100,317.03,351.50
0.1110,317.98,352.55
0.1120,318.54,353.17
0.1130,318.38,352.99
0.1140,319.67,354.43
0.1150,318.36,352.97
0.1160,319.31,354.02
0.1170,318.43,353.05
0.1180,319.64,354.39
0.1190,319.25,353.96
0.1200,318.93,353.60
0.1210,319.35,354.07
0.1220,318.98,353.66
0.1230,318.43,353.05
0.1240,318.08,352.66
0.1250,318.62,353.26
0.1260,318.74,353.39
0.1270,319.77,354.53
0.1280,321.02,355.92
0.1290,320.77,355.64
0.1300,319.07,353.76
0.1310,318.66,353.31
0.1320,318.14,352.72
0.1330,319.27,353.98
0.1340,317.29,351.78
0.1350,317.87,352.42
0.1360,318.71,353.36
0.1370,319.38,354.10
0.1380,318.49,353.11
0.1390,317.51,352.02
0.1400,320.11,354.92
0.1410,320.49,355.34
0.1420,318.19,352.78
0.1430,318.20,352.80
0.1440,319.69,354.44
0.1450,320.17,354.98
0.1460,316.86,351.30
0.1470,318.64,353.28
0.1480,318.44,353.06
0.1490,318.59,353.23
0.1500,318.70,353.35
0.1510,321.07,355.97
0.1520,318.93,353.61
0.1530,319.68,354.44
0.1540,318.20,352.79
0.1550,319.83,354.60
0.1560,317.74,352.29
0.1570,317.16,351.64
0.1580,318.95,353.62
0.1590,318.92,353.59
0.1600,321.54,356.50
0.1610,319.71,354.47
0.1620,318.25,352.85
0.1630,318.48,353.11
0.1640,319.35,354.07
0.1650,319.63,354.38
0.1660,318.44,353.06
0.1670,317.65,352.19
0.1680,317.86,352.42
0.1690,318.49,353.11
0.1700,319.73,354.50
0.1710,318.39,353.00
0.1720,317.81,352.36
0.1730,319.71,354.46
0.1740,320.49,355.33
