time_s,Fz_left_N,Fz_right_N
0.0000,276.72,312.68
0.0010,274.74,310.44
0.0020,275.52,311.32
0.0030,276.82,312.78
0.0040,275.95,311.80
0.0050,275.28,311.04
0.0060,277.75,313.84
0.0070,278.40,314.57
0.0080,277.82,313.92
0.0090,277.95,314.07
0.0100,277.57,313.64
0.0110,275.97,311.82
0.0120,276.53,312.45
0.0130,276.22,312.11
0.0140,278.41,314.59
0.0150,274.72,310.41
0.0160,276.04,311.90
0.0170,277.10,313.10
0.0180,276.46,312.38
0.0190,274.75,310.45
0.0200,276.10,311.97
0.0210,276.14,312.02
0.0220,274.89,310.61
0.0230,276.08,311.95
0.0240,276.45,312.37
0.0250,273.94,309.53
0.0260,276.02,311.88
0.0270,276.27,312.16
0.0280,275.30,311.07
0.0290,275.66,311.47
0.0300,275.74,311.57
0.0310,276.00,311.86
0.0320,275.29,311.05
0.0330,275.13,310.87
0.0340,276.81,312.77
0.0350,278.37,314.54
0.0360,276.32,312.23
0.0370,276.10,311.97
0.0380,278.94,315.19
0.0390,276.68,312.63
0.0400,276.36,312.27
0.0410,277.17,313.18
0.0420,278.11,314.24
0.0430,275.24,311.01
0.0440,276.33,312.23
0.0450,277.01,313.01
0.0460,277.03,313.02
0.0470,275.20,310.96
0.0480,278.03,314.15
0.0490,274.50,310.16
0.0500,275.55,311.36
0.0510,275.90,311.75
0.0520,276.86,312.83
0.0530,275.89,311.74
0.0540,275.08,310.82
0.0550,275.22,310.98
0.0560,274.61,310.29
0.0570,276.76,312.72
0.0580,276.62,312.57
0.0590,276.72,312.67
0.0600,274.50,310.17
0.0610,278.83,315.06
0.0620,278.52,314.71
0.0630,275.83,311.67
0.0640,276.67,312.62
0.0650,275.17,310.93
0.0660,274.83,310.54
0.0670,276.92,312.90
0.0680,278.27,314.43
0.0690,276.08,311.95
0.0700,274.35,310.00
0.0710,276.07,311.94
0.0720,275.82,311.65
0.0730,275.52,311.32
0.0740,277.55,313.61
0.0750,276.35,312.26
0.0760,278.44,314.62
0.0770,276.95,312.94
0.0780,276.61,312.55
0.0790,275.68,311.50
0.0800,275.72,311.55
0.0810,277.49,313.54
0.0820,277.31,313.35
0.0830,274.23,309.86
0.0840,277.00,312.99
0.0850,276.52,312.45
0.0860,278.07,314.20
0.0870,276.38,312.29
0.0880,276.42,312.33
0.0890,275.27,311.03
0.0900,277.59,313.66
0.0910,275.13,310.88
0.0920,277.84,313.94
0.0930,277.08,313.08
0.0940,274.71,310.41
0.0950,275.58,311.38
0.0960,277.81,313.90
0.0970,274.82,310.52
0.0980,276.67,312.62
0.0990,276.34,312.25
0.1000,276.32,312.23
0.1010,277.91,314.02
0.1020,277.98,314.10
0.1030,276.46,312.38
0.1040,276.66,312.60
0.1050,277.23,313.26
0.1060,274.97,310.69
0.1070,276.79,312.75
0.1080,277.81,313.91
0.1090,275.70,311.52
0.1100,275.68,311.50
0.1110,276.65,312.59
0.1120,277.00,312.99
0.1130,275.79,311.62
0.1140,277.93,314.05
0.1150,274.31,309.95
0.1160,276.88,312.86
0.1170,277.60,313.67
0.1180,275.35,311.13
0.1190,276.32,312.23
0.1200,276.77,312.73
0.1210,275.54,311.35
0.1220,275.29,311.06
0.1230,276.57,312.51
0.1240,276.26,312.15
0.1250,277.91,314.02
0.1260,274.04,309.65
0.1270,276.86,312.83
0.1280,276.64,312.58
0.1290,275.41,311.19
0.1300,276.03,311.90
0.1310,276.13,312.01
0.1320,274.76,310.46
0.1330,275.35,311.13
0.1340,277.14,313.15
0.1350,276.64,312.58
0.1360,275.60,311.41
0.1370,278.64,314.84
0.1380,275.40,311.19
0.1390,277.40,313.44
0.1400,277.42,313.46
0.1410,276.93,312.91
0.1420,275.81,311.64
0.1430,279.05,315.31
0.1440,275.51,311.30
0.1450,277.79,313.88
0.1460,278.42,314.59
0.1470,276.19,312.07
0.1480,273.57,309.12
0.1490,275.33,311.11
0.1500,276.50,312.43
0.1510,276.40,312.31
0.1520,278.06,314.19
0.1530,277.15,313.16
0.1540,276.02,311.88
0.1550,276.57,312.51
0.1560,277.85,313.95
0.1570,275.06,310.80
0.1580,275.14,310.89
0.1590,275.33,311.11
0.1600,275.36,311.14
0.1610,277.26,313.28
0.1620,277.32,313.35
0.1630,277.67,313.75
0.1640,277.48,313.54
0.1650,276.04,311.91
0.1660,275.19,310.94
0.1670,274.37,310.02
0.1680,274.81,310.51
0.1690,275.88,311.73
0.1700,275.18,310.93
0.1710,277.47,313.53
0.1720,276.32,312.23
0.1730,276.34,312.24
0.1740,277.33,313.37
0.1750,277.14,313.15
0.1760,276.62,312.56
0.1770,277.69,313.77
0.1780,276.19,312.07
0.1790,275.23,310.99
0.1800,273.56,309.11
0.1810,277.20,313.22
0.1820,277.20,313.21
0.1830,276.42,312.34
0.1840,276.84,312.81
0.1850,277.69,313.77
0.1860,276.79,312.75
0.1870,276.18,312.06
0.1880,274.86,310.57
0.1890,272.85,308.30
0.1900,275.24,311.00
0.1910,275.71,311.53
0.1920,276.63,312.58
0.1930,278.28,314.43
0.1940,277.67,313.74
0.1950,276.07,311.94
0.1960,275.49,311.28
0.1970,276.16,312.05
0.1980,276.77,312.73
0.1990,275.90,311.74
0.2000,275.56,311.37
0.2010,276.20,312.08
0.2020,275.40,311.18
0.2030,277.21,313.23
0.2040,276.10,311.98
0.2050,277.16,313.17
0.2060,276.20,312.09
0.2070,275.74,311.57
0.2080,274.48,310.14
0.2090,275.53,311.33
0.2100,275.25,311.01
0.2110,275.84,311.68
0.2120,275.39,311.17
0.2130,275.87,311.71
0.2140,277.31,313.34
0.2150,277.94,314.06
0.2160,274.74,310.44
0.2170,276.54,312.47
0.2180,276.16,312.04
0.2190,274.25,309.89
0.2200,277.14,313.15
0.2210,278.88,315.12
0.2220,275.44,311.23
0.2230,276.62,312.56
0.2240,276.51,312.44
0.2250,277.58,313.65
0.2260,278.43,314.61
0.2270,276.62,312.56
0.2280,277.31,313.34
0.2290,277.87,313.97
0.2300,274.72,310.41
0.2310,275.69,311.51
0.2320,275.56,311.37
0.2330,275.83,311.67
0.2340,277.15,313.15
0.2350,276.35,312.26
0.2360,278.75,314.97
0.2370,276.18,312.06
0.2380,275.49,311.29
0.2390,275.97,311.83
0.2400,276.60,312.54
0.2410,274.55,310.23
0.2420,277.50,313.56
0.2430,276.63,312.58
0.2440,274.52,310.19
0.2450,275.20,310.96
0.2460,276.31,312.21
0.2470,277.35,313.39
0.2480,276.11,311.99
0.2490,276.97,312.96
0.2500,276.47,312.39
0.2510,276.53,312.46
0.2520,278.59,314.79
0.2530,276.10,311.97
0.2540,277.99,314.11
0.2550,275.61,311.42
0.2560,277.64,313.72
0.2570,276.97,312.96
0.2580,275.64,311.45
0.2590,277.43,313.48
0.2600,274.67,310.36
0.2610,277.84,313.94
0.2620,276.46,312.38
0.2630,278.33,314.50
0.2640,275.71,311.53
0.2650,276.61,312.55
0.2660,277.52,313.58
0.2670,277.02,313.02
0.2680,277.22,313.24
0.2690,276.60,312.54
0.2700,275.80,311.64
0.2710,277.65,313.72
0.2720,276.16,312.04
0.2730,276.18,312.07
0.2740,276.25,312.14
0.2750,276.38,312.29
0.2760,276.13,312.00
0.2770,277.36,313.40
0.2780,274.42,310.08
0.2790,277.62,313.69
0.2800,275.76,311.59
0.2810,276.07,311.94
0.2820,276.81,312.78
0.2830,277.41,313.46
0.2840,275.58,311.39
0.2850,275.57,311.38
0.2860,276.39,312.30
0.2870,277.13,313.14
0.2880,278.13,314.26
0.2890,274.79,310.50
0.2900,275.09,310.84
0.2910,276.57,312.50
0.2920,276.54,312.47
0.2930,275.28,311.05
0.2940,275.91,311.76
0.2950,277.22,313.24
0.2960,275.53,311.32
0.2970,277.05,313.05
0.2980,276.45,312.37
0.2990,279.38,315.68
0.3000,277.96,314.08
0.3010,275.74,311.57
0.3020,276.54,312.47
0.3030,275.09,310.83
0.3040,275.84,311.68
0.3050,277.60,313.67
0.3060,276.83,312.80
0.3070,275.69,311.51
0.3080,273.88,309.46
0.3090,275.61,311.42
0.3100,275.76,311.58
0.3110,275.18,310.94
0.3120,277.45,313.50
0.3130,277.79,313.88
0.3140,275.49,311.29
0.3150,275.81,311.65
0.3160,275.40,311.18
0.3170,276.03,311.89
0.3180,276.32,312.22
0.3190,277.96,314.08
0.3200,276.52,312.45
0.3210,276.39,312.31
0.3220,277.17,313.18
0.3230,276.33,312.23
0.3240,276.85,312.82
0.3250,276.26,312.15
0.3260,276.28,312.18
0.3270,277.15,313.15
0.3280,278.50,314.69
0.3290,277.35,313.39
0.3300,276.89,312.86
0.3310,276.91,312.89
0.3320,277.63,313.70
0.3330,274.51,310.18
0.3340,274.46,310.12
0.3350,277.67,313.75
0.3360,275.56,311.36
0.3370,275.07,310.81
0.3380,274.95,310.68
0.3390,276.72,312.67
0.3400,274.33,309.97
0.3410,277.74,313.82
0.3420,276.77,312.73
0.3430,277.63,313.71
0.3440,275.43,311.21
0.3450,275.94,311.80
0.3460,275.48,311.27
0.3470,277.75,313.84
0.3480,277.38,313.42
0.3490,277.51,313.57
0.3500,276.69,312.64
0.3510,277.59,313.65
0.3520,278.07,314.19
0.3530,274.32,309.96
0.3540,274.55,310.22
0.3550,274.93,310.65
0.3560,276.07,311.94
0.3570,275.99,311.85
0.3580,275.25,311.01
0.3590,276.72,312.67
0.3600,277.08,313.08
0.3610,277.37,313.40
0.3620,276.25,312.14
0.3630,275.98,311.84
0.3640,277.00,312.99
0.3650,275.27,311.04
0.3660,275.86,311.71
0.3670,278.55,314.74
0.3680,275.13,310.88
0.3690,277.05,313.05
0.3700,276.91,312.89
0.3710,276.33,312.24
0.3720,275.13,310.87
0.3730,275.45,311.23
0.3740,275.83,311.67
0.3750,277.25,313.28
0.3760,276.63,312.57
0.3770,275.99,311.85
0.3780,276.67,312.61
0.3790,275.76,311.59
0.3800,276.92,312.90
0.3810,277.05,313.05
0.3820,276.03,311.90
0.3830,274.10,309.71
0.3840,277.94,314.05
0.3850,276.89,312.87
0.3860,275.75,311.57
0.3870,276.00,311.87
0.3880,276.84,312.81
0.3890,276.69,312.64
0.3900,277.17,313.18
0.3910,276.36,312.27
0.3920,277.25,313.27
0.3930,278.74,314.96
0.3940,279.06,315.32
0.3950,275.63,311.45
0.3960,275.86,311.70
0.3970,274.67,310.36
0.3980,274.81,310.52
0.3990,275.82,311.66
0.4000,276.50,312.43
0.4010,277.64,313.71
0.4020,278.36,314.53
0.4030,277.23,313.25
0.4040,278.69,314.90
0.4050,274.64,310.33
0.4060,277.59,313.66
0.4070,276.37,312.28
0.4080,275.55,311.36
0.4090,275.80,311.63
0.4100,276.58,312.51
0.4110,277.74,313.83
0.4120,275.66,311.48
0.4130,277.83,313.93
0.4140,277.74,313.83
0.4150,277.21,313.23
0.4160,278.58,314.77
0.4170,274.40,310.05
0.4180,276.69,312.64
0.4190,274.90,310.62
0.4200,275.72,311.54
0.4210,276.60,312.54
0.4220,276.87,312.84
0.4230,276.11,311.98
0.4240,277.85,313.95
0.4250,275.21,310.97
0.4260,275.52,311.32
0.4270,276.22,312.11
0.4280,275.74,311.56
0.4290,276.86,312.84
